Product Name,Product Category,Sell Price (₹),Cost Price (₹),Number of Sales,Stock
Classic Microwave Oven Bundle,Electronics,988,253,378,53
Max Cooking Oil 1L Set,Grocery,1789,806,98,58
Pro Whole Wheat Flour 5kg Bundle,Grocery,1411,729,355,70
Max Baby Diapers - Pack of 20 Set,Baby Care,3137,2165,95,25
Premium Hair Oil Box,Personal Care,567,104,425,27
Max Organic Green Tea Box,Grocery,3026,2463,41,50
Classic Water Bottle Bundle,Home Essentials,1620,1195,484,3
Premium Hair Oil Box,Personal Care,1576,832,23,25
Eco Baby Diapers - Pack of 20 Bundle,Baby Care,3010,2237,201,6
Classic Instant Coffee 200g Model,Grocery,1070,753,470,36
Ultra LED Bulb 12W Bundle,Electronics,2516,2444,147,95
Max Baby Diapers - Pack of 20 Set,Baby Care,1421,862,21,95
Max Yoga Mat Set,Fitness,1932,1372,320,61
Smart Toothpaste Pack,Personal Care,611,449,336,43
Smart Toothpaste Edition,Personal Care,2576,1636,241,27
Classic Water Bottle Model,Home Essentials,956,801,310,29
Smart Women's Handbag Box,Accessories,948,874,325,97
Eco Desk Lamp Box,Home & Kitchen,1687,1619,328,17
Pro Floor Cleaner 1L Pack,Home Essentials,1918,1857,371,4
Max Smart Watch Gen 5 Box,Electronics,2287,1894,454,66
Smart Electric Kettle Set,Home & Kitchen,2651,2164,210,80
Red Men's Formal Shirt Bundle,Clothing,1456,512,240,51
Premium Men's Sneakers Model,Footwear,3178,2251,351,65
Ultra Smart Watch Gen 5 Edition,Electronics,2839,2030,127,75
Classic Water Bottle Model,Home Essentials,762,194,448,96
Ultra Smart Watch Gen 5 Edition,Electronics,1423,1196,95,29
Max Organic Green Tea Box,Grocery,1353,467,142,12
Smart Electric Kettle Set,Home & Kitchen,1580,1490,392,90
Premium Instant Coffee 200g Box,Grocery,1338,1284,472,41
Smart Women's Handbag Model,Accessories,1237,1002,330,8
Deluxe Desk Lamp Box,Home & Kitchen,844,609,205,10
Classic Water Bottle Bundle,Home Essentials,2054,1493,368,11
Max Yoga Mat Set,Fitness,863,218,151,9
Ultra Smart Watch Gen 5 Pack,Electronics,2522,2272,210,91
Ultra Men's Formal Shirt Pack,Clothing,757,603,180,99
Red Whole Wheat Flour 5kg Box,Grocery,845,468,171,33
Eco Face Wash 100ml Model,Personal Care,2528,2128,20,98
Deluxe Desk Lamp Set,Home & Kitchen,1929,1013,433,93
Pro Whole Wheat Flour 5kg Bundle,Grocery,2589,2151,490,40
Eco Desk Lamp Box,Home & Kitchen,1728,1270,477,88
Red Bluetooth Speaker Box,Electronics,2100,1849,401,100
Classic Microwave Oven Bundle,Electronics,3068,2323,202,52
Red Men's Sneakers Bundle,Footwear,1550,1449,147,31
Mini Microwave Oven Set,Electronics,2260,1694,129,78
Mini Electric Kettle Edition,Home & Kitchen,1743,1272,360,45
Classic Water Bottle Model,Home Essentials,2438,1729,481,100
Pro Whole Wheat Flour 5kg Model,Grocery,2441,1793,62,17
Mini Microwave Oven Set,Electronics,2620,2355,331,67
Deluxe Desk Lamp Box,Home & Kitchen,2986,2014,308,53
Pro Whole Wheat Flour 5kg Bundle,Grocery,3143,2490,182,7
Mini Microwave Oven Set,Electronics,1998,1767,266,22
Red Bluetooth Speaker Set,Electronics,1568,898,279,90
Smart Classic Cotton Saree Pack,Clothing,208,116,51,38
Mini Hair Oil Model,Personal Care,628,403,319,81
Ultra Laptop Backpack Pack,Accessories,2744,2229,62,40
Eco Yoga Mat Set,Fitness,2219,1747,93,52
Premium Instant Coffee 200g Model,Grocery,2544,2096,121,48
Classic Instant Coffee 200g Pack,Grocery,988,274,189,29
Ultra Laptop Backpack Edition,Accessories,2898,2315,411,57
Eco Desk Lamp Box,Home & Kitchen,1563,1062,496,24
Eco Classic Cotton Saree Model,Clothing,1248,576,482,22
Classic Instant Coffee 200g Pack,Grocery,2391,2341,372,86
Ultra LED Bulb 12W Bundle,Electronics,1893,1383,332,76
Mini Hair Oil Model,Personal Care,1881,933,18,83
Eco Desk Lamp Box,Home & Kitchen,2161,1402,14,97
Premium LED Bulb 12W Edition,Electronics,2157,1511,114,51
Mini Shampoo 650ml Set,Personal Care,2507,1531,367,33
Pro Whole Wheat Flour 5kg Bundle,Grocery,2755,1778,237,83
Premium LED Bulb 12W Edition,Electronics,1313,561,279,67
Pro Toothpaste Pack,Personal Care,1297,995,157,90
Red Bluetooth Speaker Set,Electronics,1514,1059,426,26
Max Smart Watch Gen 5 Box,Electronics,1116,776,31,59
Mini Shampoo 650ml Set,Personal Care,2754,2243,399,20
Eco Water Bottle Box,Home Essentials,643,347,398,57
